title,price,location,date,model,storage,price_num,normalized_link
全新未拆iphone 15 128G,"NT$22,000","Tainan, Taiwan",2025-06-27,iPhone 15,128,22000.0,https://www.facebook.com/marketplace/item/657705263982249/
Iphone 15 128g 未拆封,"NT$21,000","Yüli, T'Ai-Wan, Taiwan",2025-06-27,iPhone 15,128,21000.0,https://www.facebook.com/marketplace/item/2206133889837332/
iPhone15 128g 粉,"NT$1,300","Taipei, Taiwan",2025-06-26,iPhone 15,128,1300.0,https://www.facebook.com/marketplace/item/727109893135959/
僅使用三天Iphone15 128g粉色 超新手機,"NT$10,000","Taipei, Taiwan",2025-06-26,iPhone 15,128,10000.0,https://www.facebook.com/marketplace/item/1070818648307601/
iPhone 15 128G 全心未拆,"NT$20,800",Yilan City,2025-06-26,iPhone 15,128,20800.0,https://www.facebook.com/marketplace/item/646265087936057/
三天極品Iphone15 128g粉色 超新手機 .,"NT$12,000",Changhua,2025-07-03,iPhone 15,128,12000.0,https://www.facebook.com/marketplace/item/702106602724995/
IPHONE 15 128,"NT$12,500",New Taipei City,2025-07-03,iPhone 15,128,12500.0,https://www.facebook.com/marketplace/item/1024721229465598/
iPhone 15 編織線 TypeC,NT$200,"Taipei, Taiwan",2025-06-26,iPhone 15,Unknown,200.0,https://www.facebook.com/marketplace/item/1323333295434276/
iPhone 15 Plus 128G,"NT$22,000",New Taipei City,2025-02-28,iPhone 15 Plus,128,22000.0,https://www.facebook.com/marketplace/item/Fake-Link5/
iPhone 15 plus 128G 藍,"NT$22,000","Taichung, Taiwan",2025-06-27,iPhone 15 Plus,128,22000.0,https://www.facebook.com/marketplace/item/1643499909675057/
iPhone 15 plus 256G,"NT$1,500",New Taipei City,2025-06-25,iPhone 15 Plus,256,1500.0,https://www.facebook.com/marketplace/item/2241390402945696/
iPhone 15 pro 128g 白鈦色,"NT$12,000",Pingtung,2025-06-25,iPhone 15 Pro,128,12000.0,https://www.facebook.com/marketplace/item/604927269008389/
iPhone15 Pro 128G 藍色~電池100%~6.1吋,"NT$1,500","Taipei, Taiwan",2025-06-26,iPhone 15 Pro,128,1500.0,https://www.facebook.com/marketplace/item/1704298846857744/
漂亮無傷 15Pro 128G 電池100%. 低價出售,"NT$12,000",New Taipei City,2025-06-26,iPhone 15 Pro,128,12000.0,https://www.facebook.com/marketplace/item/1029732095705727/
iPhone 15 Pro 128G 6.1吋,"NT$1,600","Tainan, Taiwan",2025-07-03,iPhone 15 Pro,128,1600.0,https://www.facebook.com/marketplace/item/2006859666752017/
iPhone 15 Pro 128G 黑色🖤 原廠公司貨 拆封新品 未使用 15p 128 黑,"NT$13,000",Changhua,2025-07-03,iPhone 15 Pro,128,13000.0,https://www.facebook.com/marketplace/item/606830272449304/
iPhone 15 Pro 128G,"NT$1,500","Taichung, Taiwan",2025-07-03,iPhone 15 Pro,128,1500.0,https://www.facebook.com/marketplace/item/1221904532699174/
Iphone 15pro 128gb 無傷無修理過，.,"NT$11,000","Taichung, Taiwan",2025-06-26,iPhone 15 Pro,128,11000.0,https://www.facebook.com/marketplace/item/1146421767243353/
iPhone 15 Pro 128G,"NT$1,500",New Taipei City,2025-06-25,iPhone 15 Pro,128,1500.0,https://www.facebook.com/marketplace/item/675133802188265/
PELICAN iphone 15 pro 手機保護,NT$800,New Taipei City,2025-07-03,iPhone 15 Pro,Unknown,800.0,https://www.facebook.com/marketplace/item/1285715739667846/
Iphone15promax512g,"NT$25,000","Taipei, Taiwan",2025-06-25,iPhone 15 Pro Max,512,25000.0,https://www.facebook.com/marketplace/item/10076289499105307/
售二手 Iphone15 ProMax 512G 白,"$25,000","Taoyuan District, Taoyuan",2025-06-27,iPhone 15 Pro Max,512,25000.0,https://www.facebook.com/marketplace/item/1297084374727164/
iPhone 15 pro max 512g 大容量,"NT$1,400",Hualian City,2025-06-27,iPhone 15 Pro Max,512,1400.0,https://www.facebook.com/marketplace/item/1123807899380839/
售Iphone15ProMax,"NT$30,000",New Taipei City,2025-06-27,iPhone 15 Pro Max,Unknown,30000.0,https://www.facebook.com/marketplace/item/1247670570125332/
Apple iPhone 16 128G 黑,"NT$10,000","Taipei, Taiwan",2025-06-26,iPhone 16,128,10000.0,https://www.facebook.com/marketplace/item/1117662607047478/
iPhone 16 128Gb,"NT$2,000","Taipei, Taiwan",2025-06-26,iPhone 16,128,2000.0,https://www.facebook.com/marketplace/item/694609966684491/
iPhone 16 128Gb,"NT$1,800","Taipei, Taiwan",2025-06-26,iPhone 16,128,1800.0,https://www.facebook.com/marketplace/item/1699457017343701/
iPhone 16 128Gb,"NT$1,600",New Taipei City,2025-06-25,iPhone 16,128,1600.0,https://www.facebook.com/marketplace/item/1022650806742511/
iPhone 16 128Gb,"NT$1,600","Taoyuan District, Taoyuan",2025-06-25,iPhone 16,128,1600.0,https://www.facebook.com/marketplace/item/2698054717066734/
iPhone 16 128Gb,"NT$1,800","Taoyuan District, Taoyuan",2025-06-25,iPhone 16,128,1800.0,https://www.facebook.com/marketplace/item/1812209326302983/
iPhone 16 128Gb,"NT$2,000","Taipei, Taiwan",2025-07-03,iPhone 16,128,2000.0,https://www.facebook.com/marketplace/item/4294941024066865/
iPhone 16 128 黑,"NT$2,000",Changhua,2025-07-03,iPhone 16,128,2000.0,https://www.facebook.com/marketplace/item/711393871633512/
Apple iPhone 16 128G 黑,"NT$10,000","Taoyuan District, Taoyuan",2025-07-03,iPhone 16,128,10000.0,https://www.facebook.com/marketplace/item/1068624225214834/
iPhone 16 128Gb,"NT$2,000",New Taipei City,2025-06-25,iPhone 16,128,2000.0,https://www.facebook.com/marketplace/item/618358210761749/
