excluded_reason,title,price,location,date,model,storage,price_num,normalized_link
Duplicate link,iPhone 15 Pro 256GB 原色 Titanium｜9成新＋電池90％＋贈全新保護貼,"NT$23,500","Taipei, Taiwan",2025-06-27,iPhone 15 Pro,256,23500.0,https://www.facebook.com/marketplace/item/1229784008545784/
Duplicate link,iPhone 16 pro 128g,"NT$29,500","Taipei, Taiwan",2025-06-27,iPhone 16 Pro,128,29500.0,https://www.facebook.com/marketplace/item/690827763856461/
Duplicate link,iPhone 16 128g 黑 只有單機 保險置換回來未使用 保固到明年5/14,"NT$24,500","Taoyuan District, Taoyuan",2025-06-27,iPhone 16,128,24500.0,https://www.facebook.com/marketplace/item/2687141481495656/
Duplicate link,iPhone 16 plus 256粉,"NT$28,900",New Taipei City,2025-06-27,iPhone 16 Plus,256,28900.0,https://www.facebook.com/marketplace/item/23914033518254422/
Duplicate link,iPhone 16 128G,"$19,500","Huatan, T'Ai-Wan, Taiwan",2025-06-27,iPhone 16,128,19500.0,https://www.facebook.com/marketplace/item/1033205298875521/
Duplicate link,Iphone 16 256g 白色,"NT$29,500",New Taipei City,2025-06-27,iPhone 16,256,29500.0,https://www.facebook.com/marketplace/item/4160069027563893/
Duplicate link,"iPhone 15 Pro Max 256GB｜近全新品｜售$26,900＋贈保貼！","NT$26,900",New Taipei City,2025-06-27,iPhone 15 Pro Max,256,26900.0,https://www.facebook.com/marketplace/item/616421501475275/
Duplicate link,Iphone11，女用機,"NT$3,900","Hsinchu, Taiwan",2025-06-27,iPhone 11,Unknown,3900.0,https://www.facebook.com/marketplace/item/2995029790658445/
Duplicate link,iPhone 12promax 512G 黑色 電89 原盒原線,"NT$13,000",New Taipei City,2025-06-27,iPhone 12 Pro Max,512,13000.0,https://www.facebook.com/marketplace/item/718662637236221/
Duplicate link,iPhone 13 mini,"NT$11,500",New Taipei City,2025-06-27,iPhone 13 mini,Unknown,11500.0,https://www.facebook.com/marketplace/item/745089167894893/
Duplicate link,iPhone 16 Pro Max 256GB 沙漠金 全新未拆,"NT$38,500","Taipei, Taiwan",2025-06-27,iPhone 16 Pro Max,256,38500.0,https://www.facebook.com/marketplace/item/1411182873461001/
Duplicate link,iPhone 16 por max 256G 沙漠金 僅充電7次 完美,"NT$20,000",New Taipei City,2025-06-27,iPhone 16,256,20000.0,https://www.facebook.com/marketplace/item/739669458416108/
Duplicate link,實體門市 二手 中古 展示 iPhone 16 512G I16藍 二眼 僅拆封未使用 原廠保固2026/6 可分期 僅此一台 保固近一年,"NT$31,580",New Taipei City,2025-06-27,iPhone 16,512,31580.0,https://www.facebook.com/marketplace/item/689790197232954/
Duplicate link,iphone16 plus 256g 黑,"NT$28,500","Tainan, Taiwan",2025-06-27,iPhone 16 Plus,256,28500.0,https://www.facebook.com/marketplace/item/1222314312641202/
Duplicate link,近全新iphone 16 128G白，逢甲自取,"NT$23,000","Taichung, Taiwan",2025-06-27,iPhone 16,128,23000.0,https://www.facebook.com/marketplace/item/718482420694195/
Duplicate link,iPhone 16 pro 128g 沙漠金✨全機無傷 新北面交,"NT$28,000",New Taipei City,2025-06-27,iPhone 16 Pro,128,28000.0,https://www.facebook.com/marketplace/item/714329348013615/
Duplicate link,iPhone 16 Pro 128/256 全新未拆,"NT$35,000","Tainan, Taiwan",2025-06-27,iPhone 16 Pro,128,35000.0,https://www.facebook.com/marketplace/item/722773116966936/
Duplicate link,全新未拆 iPhone 16 pro 256 256G 金色,"NT$34,000","Taipei, Taiwan",2025-06-27,iPhone 16 Pro,256,34000.0,https://www.facebook.com/marketplace/item/536216262792905/
Duplicate link,iPhone 12 128G 後殼已經修好 配件齊全 功能正常 電池健康 89% 低價出售,"NT$1,800","Taichung, Taiwan",2025-06-27,iPhone 12,128,1800.0,https://www.facebook.com/marketplace/item/3969633419946527/
Duplicate link,售iPhone 15 128g 綠色,"NT$11,000",Puzi City,2025-06-27,iPhone 15,128,11000.0,https://www.facebook.com/marketplace/item/1430134878144253/
Duplicate link,iphone15 Plus 256g,"NT$21,500","Taipei, Taiwan",2025-06-27,iPhone 15 Plus,256,21500.0,https://www.facebook.com/marketplace/item/1959679671511712/
Duplicate link,iPhone 13 128GB 墨綠色,"NT$8,500","Taipei, Taiwan",2025-06-27,iPhone 13,128,8500.0,https://www.facebook.com/marketplace/item/1469451737524033/
Duplicate link,iPhone 16 pro 256g 金色,"$34,000","Taichung, Taiwan",2025-06-27,iPhone 16 Pro,256,34000.0,https://www.facebook.com/marketplace/item/1756568408292644/
Duplicate link,全新未拆封iPhone 16 pro 256g白色（蘆洲）,"NT$35,500",New Taipei City,2025-06-27,iPhone 16 Pro,256,35500.0,https://www.facebook.com/marketplace/item/1893438604820098/
Duplicate link,iPhone 16 pro max 256g 金✨漂亮無傷 新北面交,"NT$35,500",New Taipei City,2025-06-27,iPhone 16 Pro Max,256,35500.0,https://www.facebook.com/marketplace/item/23933727296314160/
